id,手机号,城市,省,运营商
01000,13001000106,北京,北京,联通
01000,13001000106,北京,北京,联通
01001,13001001106,北京,北京,联通
01002,13001002106,北京,北京,联通
01001,13001001106,北京,北京,联通
01003,13001003106,北京,北京,联通
01002,13001002106,北京,北京,联通
01004,13001004106,北京,北京,联通
01003,13001003106,北京,北京,联通
01005,13001005106,北京,北京,联通
01004,13001004106,北京,北京,联通
01006,13001006106,北京,北京,联通
01005,13001005106,北京,北京,联通
01007,13001007106,北京,北京,联通
01006,13001006106,北京,北京,联通
01008,13001008106,北京,北京,联通
01007,13001007106,北京,北京,联通
01009,13001009106,北京,北京,联通
01008,13001008106,北京,北京,联通
01010,13001010106,北京,北京,联通
01009,13001009106,北京,北京,联通
01011,13001011106,北京,北京,联通
01010,13001010106,北京,北京,联通
01012,13001012106,北京,北京,联通
01011,13001011106,北京,北京,联通
01013,13001013106,北京,北京,联通
01012,13001012106,北京,北京,联通
01014,13001014106,北京,北京,联通
01013,13001013106,北京,北京,联通
01015,13001015106,北京,北京,联通
01014,13001014106,北京,北京,联通
01016,13001016106,北京,北京,联通
01015,13001015106,北京,北京,联通
01016,13001016106,北京,北京,联通
01017,13001017106,北京,北京,联通
01017,13001017106,北京,北京,联通
01018,13001018106,北京,北京,联通
01018,13001018106,北京,北京,联通
01019,13001019106,北京,北京,联通
01019,13001019106,北京,北京,联通
01020,13001020106,北京,北京,联通
01020,13001020106,北京,北京,联通
01021,13001021106,北京,北京,联通
01021,13001021106,北京,北京,联通
01022,13001022106,北京,北京,联通
01022,13001022106,北京,北京,联通
01023,13001023106,北京,北京,联通
01023,13001023106,北京,北京,联通
01024,13001024106,北京,北京,联通
01024,13001024106,北京,北京,联通
01025,13001025106,北京,北京,联通
01025,13001025106,北京,北京,联通
01026,13001026106,北京,北京,联通
01026,13001026106,北京,北京,联通
01027,13001027106,北京,北京,联通
01027,13001027106,北京,北京,联通
01028,13001028106,北京,北京,联通
01028,13001028106,北京,北京,联通
01029,13001029106,北京,北京,联通
01029,13001029106,北京,北京,联通
01030,13001030106,北京,北京,联通
01030,13001030106,北京,北京,联通
01031,13001031106,北京,北京,联通
01031,13001031106,北京,北京,联通
01032,13001032106,北京,北京,联通
01032,13001032106,北京,北京,联通
01033,13001033106,北京,北京,联通
01033,13001033106,北京,北京,联通
01034,13001034106,北京,北京,联通
01034,13001034106,北京,北京,联通
01035,13001035106,北京,北京,联通
01035,13001035106,北京,北京,联通
01036,13001036106,北京,北京,联通
01036,13001036106,北京,北京,联通
01037,13001037106,北京,北京,联通
01037,13001037106,北京,北京,联通
01038,13001038106,北京,北京,联通
01038,13001038106,北京,北京,联通
01039,13001039106,北京,北京,联通
01039,13001039106,北京,北京,联通
01040,13001040106,北京,北京,联通
01040,13001040106,北京,北京,联通
01041,13001041106,北京,北京,联通
01041,13001041106,北京,北京,联通
01042,13001042106,北京,北京,联通
01042,13001042106,北京,北京,联通
01043,13001043106,北京,北京,联通
01043,13001043106,北京,北京,联通
01044,13001044106,北京,北京,联通
01044,13001044106,北京,北京,联通
01045,13001045106,北京,北京,联通
01045,13001045106,北京,北京,联通
01046,13001046106,北京,北京,联通
01046,13001046106,北京,北京,联通
01047,13001047106,北京,北京,联通
01047,13001047106,北京,北京,联通
01048,13001048106,北京,北京,联通
01048,13001048106,北京,北京,联通
01049,13001049106,北京,北京,联通
01049,13001049106,北京,北京,联通
01050,13001050106,北京,北京,联通
01050,13001050106,北京,北京,联通
01051,13001051106,北京,北京,联通
01051,13001051106,北京,北京,联通
01052,13001052106,北京,北京,联通
01052,13001052106,北京,北京,联通
01053,13001053106,北京,北京,联通
01053,13001053106,北京,北京,联通
01054,13001054106,北京,北京,联通
01054,13001054106,北京,北京,联通
01055,13001055106,北京,北京,联通
01055,13001055106,北京,北京,联通
01056,13001056106,北京,北京,联通
01057,13001057106,北京,北京,联通
01056,13001056106,北京,北京,联通
01057,13001057106,北京,北京,联通
01058,13001058106,北京,北京,联通
01059,13001059106,北京,北京,联通
01058,13001058106,北京,北京,联通
01060,13001060106,北京,北京,联通
01059,13001059106,北京,北京,联通
01061,13001061106,北京,北京,联通
01060,13001060106,北京,北京,联通
01062,13001062106,北京,北京,联通
01061,13001061106,北京,北京,联通
01063,13001063106,北京,北京,联通
01062,13001062106,北京,北京,联通
01063,13001063106,北京,北京,联通
01064,13001064106,北京,北京,联通
01065,13001065106,北京,北京,联通
01064,13001064106,北京,北京,联通
01065,13001065106,北京,北京,联通
01066,13001066106,北京,北京,联通
01066,13001066106,北京,北京,联通
01067,13001067106,北京,北京,联通
01067,13001067106,北京,北京,联通
01068,13001068106,北京,北京,联通
01068,13001068106,北京,北京,联通
01069,13001069106,北京,北京,联通
01069,13001069106,北京,北京,联通
01070,13001070106,北京,北京,联通
01070,13001070106,北京,北京,联通
01071,13001071106,北京,北京,联通
01071,13001071106,北京,北京,联通
01072,13001072106,北京,北京,联通
01072,13001072106,北京,北京,联通
01073,13001073106,北京,北京,联通
01073,13001073106,北京,北京,联通
01074,13001074106,北京,北京,联通
01074,13001074106,北京,北京,联通
01075,13001075106,北京,北京,联通
01075,13001075106,北京,北京,联通
01076,13001076106,北京,北京,联通
01076,13001076106,北京,北京,联通
01077,13001077106,北京,北京,联通
01077,13001077106,北京,北京,联通
